node_id,age_band,prompt,prompt_8_10,topic,option_id,option_label,option_label_8_10,clause_refs,favors,harms
D01,11-14,Who can put a law on the ballot?,Who can start a new rule?,DIRECT_DEMOCRACY,D01-A,Only the legislature,Only the lawmakers,urn:const:us:de:art-16:sec-01,legislators;stability,organizers;kids
D01,11-14,Who can put a law on the ballot?,Who can start a new rule?,DIRECT_DEMOCRACY,D01-B,Citizens with enough signatures,Anyone who gets enough people to sign,urn:const:us:mo:art-03:sec-49;urn:const:us:ca:art-02:sec-08,organizers;rural counties,legislators
D02,11-14,How do we choose judges?,How do we pick judges?,JUDICIAL_SELECTION,D02-A,Voters elect them,People vote for them,urn:const:us:tx:art-05:sec-02,voters,court neutrality
D02,11-14,How do we choose judges?,How do we pick judges?,JUDICIAL_SELECTION,D02-B,"A commission nominates, the governor appoints",Experts make a list. The governor picks one.,urn:const:us:mo:art-05:sec-25a,court neutrality,voters
D03,11-14,Who pays for schools?,Who pays for schools?,EDUCATION_ESTABLISHMENT,D03-A,Each town pays for its own,Each town pays for its own schools,urn:const:us:tx:art-07:sec-03;urn:const:us:tx:art-08:sec-01e,wealthy towns,poor towns;kids
D03,11-14,Who pays for schools?,Who pays for schools?,EDUCATION_ESTABLISHMENT,D03-B,The state must fund a minimum for every school,The state makes sure every school gets enough,urn:const:us:mo:art-09:sec-01a;urn:const:us:nh:art-83:sec-01,poor towns;kids,taxpayers
D04,8-10,Who gets to vote?,Who gets to vote?,SUFFRAGE,D04-A,Only people who own land,Only people who own land,urn:const:us:va:art-03:sec-14,landowners,most people
D04,8-10,Who gets to vote?,Who gets to vote?,SUFFRAGE,D04-B,Every adult citizen,Every grown-up citizen,urn:const:us:mo:art-08:sec-02,most people,
D05,11-14,How hard should it be to change the rules?,How hard should it be to change a rule?,AMENDMENT_PROCESS,D05-A,More than half the voters say yes,More than half of people say yes,urn:const:us:mo:art-12:sec-02b,most people;organizers,small groups;stability
D05,11-14,How hard should it be to change the rules?,How hard should it be to change a rule?,AMENDMENT_PROCESS,D05-B,A supermajority must say yes,Way more than half must say yes,urn:const:us:fl:art-11:sec-05;urn:const:us:nh:art-100:sec-01,small groups;stability,most people;organizers
D06,11-14,"Should the lawmakers be one group, or two groups that both have to agree?","Should the lawmakers be one group, or two?",LEGISLATIVE,D06-A,Two groups that both have to agree,Two groups,urn:const:us:mo:art-03:sec-01,stability;small groups,organizers;taxpayers
D06,11-14,"Should the lawmakers be one group, or two groups that both have to agree?","Should the lawmakers be one group, or two?",LEGISLATIVE,D06-B,One group,One group,urn:const:us:ne:art-03:sec-01,organizers;taxpayers,stability;small groups
